industry,year,total_vol_12m_mean,total_vol_12m_std,systematic_vol_12m_mean,systematic_vol_12m_std,idiosyncratic_vol_12m_mean,idiosyncratic_vol_12m_std
"Agriculture, Forestry, Fishing",1996,0.14342676816710445,0.07926322616465331,0.03479341598957628,0.03218674687406025,0.12399845764452318,0.07364735995265918
"Agriculture, Forestry, Fishing",1997,0.16300366116373824,0.11364194012952585,0.05896196821614515,0.06955371052407645,0.13643325973177323,0.09036951219733848
"Agriculture, Forestry, Fishing",1998,0.13069990700131132,0.07861453032715388,0.06321047304315863,0.05818070935911632,0.09850534949242458,0.05637463048258729
"Agriculture, Forestry, Fishing",1999,0.12526619160100833,0.06886251248488214,0.04759864580643851,0.039301917345195864,0.10001375065162446,0.062365935187404825
"Agriculture, Forestry, Fishing",2000,0.13205326130129155,0.08199934991265545,0.03248024903720063,0.024876199069106465,0.11657774859607146,0.07927768692552253
"Agriculture, Forestry, Fishing",2001,0.21755613151417158,0.24927263788169976,0.05328594110851744,0.06985347354209517,0.19482410049189716,0.22597923918531132
"Agriculture, Forestry, Fishing",2002,0.12363762029578829,0.10533040308096688,0.03943387700657503,0.046122106237867,0.10663861734619358,0.09180396394670508
"Agriculture, Forestry, Fishing",2003,0.1310259191456781,0.11220507707353733,0.03704616023097441,0.03566207357158652,0.11360760507090083,0.10376837197515261
"Agriculture, Forestry, Fishing",2004,0.12976164348935712,0.07666168060445536,0.05946341865600383,0.06103580419921922,0.0991783075365007,0.049507965757105754
"Agriculture, Forestry, Fishing",2005,0.08698360056728492,0.03538456711837961,0.0271166009651416,0.024903931113959683,0.07479739618150019,0.029891165171338357
"Agriculture, Forestry, Fishing",2006,0.07472396900305513,0.02525488037978249,0.020766746469933376,0.013700088424054112,0.0658125388701814,0.02381821910535277
"Agriculture, Forestry, Fishing",2007,0.0985047955334379,0.03173429962267491,0.029570190320534304,0.01998829518838925,0.08506872786481985,0.0303909455992105
"Agriculture, Forestry, Fishing",2008,0.13782985805393838,0.04915517114581594,0.06187191372027829,0.045162886151191114,0.10873875018552157,0.0386531320295763
"Agriculture, Forestry, Fishing",2009,0.23710751428594076,0.13972144857969715,0.11393816070872173,0.10326220335054508,0.17920072043832724,0.09974229170870495
"Agriculture, Forestry, Fishing",2010,0.13470306989882097,0.08853531456729109,0.058266653401056814,0.06487275545608256,0.10554815174822266,0.06264619218610129
"Agriculture, Forestry, Fishing",2011,0.10335804432352418,0.0480700457848844,0.05928863844084386,0.046122734692373435,0.07087351848490875,0.03005288800578816
"Agriculture, Forestry, Fishing",2012,0.10329285769029578,0.04526987126756814,0.06482440454720596,0.047725961525383644,0.06591569571373244,0.021612517915025605
"Agriculture, Forestry, Fishing",2013,0.07334360824335631,0.019502327307554627,0.028056301878746796,0.020132557784756536,0.06014638792501879,0.017705725731892972
"Agriculture, Forestry, Fishing",2014,0.09007539054198019,0.0477358574142083,0.03709107148405666,0.03854472886061827,0.07064582482799661,0.03570907822409088
"Agriculture, Forestry, Fishing",2015,0.1240855099149895,0.0734647902666272,0.03811676229468445,0.0387907791582104,0.10609776668726986,0.06145734084602588
"Agriculture, Forestry, Fishing",2016,0.11392862453960499,0.053224117925013185,0.03747211217169441,0.024633057465607174,0.09616511720811824,0.0522129559399525
"Agriculture, Forestry, Fishing",2017,0.08218091689615449,0.03827272363690566,0.02778520256929725,0.02944999324514975,0.06962475996469121,0.02931074416759327
"Agriculture, Forestry, Fishing",2018,0.063008100347064,0.020830200416468693,0.01801779293835334,0.015367195953684552,0.054631653314828894,0.018222545241665052
"Agriculture, Forestry, Fishing",2019,0.09953159585066586,0.04781092668155865,0.049003660577876626,0.03309247536219748,0.07613791376782628,0.03630336654682982
"Agriculture, Forestry, Fishing",2020,0.13616022133882313,0.0879534722012092,0.08973569673451104,0.08433121137938307,0.08304071789421867,0.03261461849158415
"Agriculture, Forestry, Fishing",2021,0.11743881394987488,0.09526135112761329,0.07175704904654302,0.08294443876960722,0.0759991724098365,0.0462115722656563
"Agriculture, Forestry, Fishing",2022,0.11487252583278748,0.05415867897571803,0.043026811298904385,0.038043088299613684,0.09281364177446576,0.04978874155970748
"Agriculture, Forestry, Fishing",2023,0.1550322566165596,0.08299051329065962,0.07665147180159329,0.05158756000196613,0.11828697919361233,0.07131344676028073
Construction,1996,0.13553268013618505,0.09841773522425004,0.043860815270229565,0.043740266717186914,0.1135906317181921,0.08514419186881418
Construction,1997,0.13895089624967755,0.09250117471945207,0.04943683913590621,0.04809688666203032,0.11632427509940663,0.0801510008604881
Construction,1998,0.17058124846932887,0.20359480182679762,0.061783356744161765,0.05751284656313681,0.139942663002956,0.18562655351586793
Construction,1999,0.17414156726168423,0.1440785954418073,0.0676765079722102,0.05014053393881737,0.1403842832936352,0.13312362306369524
Construction,2000,0.184513216558443,0.13288673183803265,0.057000553523570675,0.06272850687210414,0.15997317914005582,0.11562247696128933
Construction,2001,0.19715068505259412,0.12718525846365963,0.0727643810081396,0.07587117466944464,0.1643055530723079,0.10105963849393503
Construction,2002,0.15910495267077457,0.08235353154578905,0.059360478153988934,0.05299514308522828,0.13074940016676215,0.07132121240222283
Construction,2003,0.1298484813072782,0.07404021740453819,0.05677718687995004,0.04431356521286193,0.10263673793640501,0.06393146678551691
Construction,2004,0.12684335052220372,0.08028564730128933,0.0516368739692198,0.05009820087158438,0.10079376240279689,0.06386480781397673
Construction,2005,0.1230658113207826,0.05600868259170394,0.05615969977711609,0.03782606603300246,0.09666425358685901,0.04850087403478051
Construction,2006,0.11302977191736409,0.04366032589210704,0.05211132460436793,0.02662073286861584,0.08664572821598203,0.046069116536041864
Construction,2007,0.10998175305496437,0.0443571595175796,0.05320584872537337,0.033289048661289074,0.0829468019064756,0.039750592733377214
Construction,2008,0.1706990334643888,0.08316366328301371,0.06439895582332432,0.051250794995783645,0.13997405656991377,0.07699547429530965
Construction,2009,0.2418753338979952,0.13946525089134965,0.144788343304874,0.09667702749436696,0.15962836595086877,0.10913698887137234
Construction,2010,0.1758998932510156,0.13520609038652945,0.07886807362528793,0.06825574264461404,0.13661842363425028,0.11506957325989083
Construction,2011,0.14058883083819596,0.07179110080214952,0.08423091444984135,0.04551807537341353,0.0960452852973622,0.059656733916708546
Construction,2012,0.15102174821423664,0.074380938516531,0.10303211504797828,0.05793997009890413,0.08960935085392961,0.0560805176463679
Construction,2013,0.10742191513987015,0.05432119570059518,0.0359072754557249,0.02922472876865709,0.09089503946429316,0.04974862316172108
Construction,2014,0.09310970592558485,0.03672121389520418,0.03670010586396745,0.02598839785189174,0.07586729219718254,0.03307873665715936
Construction,2015,0.10813859028987663,0.06326516576340643,0.040292006575898424,0.0337022565596778,0.0873219872813231,0.05705343840357408
Construction,2016,0.11768424523340335,0.0661958774082424,0.057426361046775565,0.044142042971209036,0.08940876869073838,0.05426506378272451
Construction,2017,0.10418628254398471,0.060201397242119384,0.04194931696369817,0.03380553318263192,0.08516226826214071,0.0528932028674985
Construction,2018,0.11046073528099337,0.09323218024955075,0.03860786117009007,0.034206311796911755,0.09357762224623971,0.08381310935662442
Construction,2019,0.12693118388863825,0.058448455984818744,0.07829710382876078,0.034090548107523856,0.08560135516831059,0.05210263605758193
Construction,2020,0.17710019713437253,0.08875242060511755,0.12088526228275424,0.07481331633481328,0.10353150851717939,0.05943381533476309
Construction,2021,0.14804887510830478,0.12589340130011592,0.0712917698555306,0.08800097729410199,0.11000608372678738,0.0847187681086644
Construction,2022,0.11306897296212112,0.05032629044898163,0.055661486201290925,0.031263861726355445,0.08678804380934592,0.04500317979035115
Construction,2023,0.1384633368107956,0.05135324940220939,0.07867808672691493,0.04218933569870183,0.09336894262938251,0.052764509573656616
"Finance, Insurance, Real Estate",1996,0.07027925371204445,0.05741383920238401,0.023475351574518567,0.027213159079239487,0.05820825558812134,0.04884350396019254
"Finance, Insurance, Real Estate",1997,0.08757573741693707,0.07344229733256445,0.031334533505475985,0.03468874001019456,0.07270583127821906,0.06403964130623113
"Finance, Insurance, Real Estate",1998,0.10455589191390464,0.0684348064804367,0.04909891796455487,0.04558279753926373,0.07760972334600748,0.05545791659881796
"Finance, Insurance, Real Estate",1999,0.10549754757501426,0.07053668593266847,0.05037749945858744,0.04887147428612449,0.07821886426290577,0.05430042706506758
"Finance, Insurance, Real Estate",2000,0.10726902715959469,0.06967840411922004,0.03372425084843098,0.03565470375137705,0.0925083824241408,0.060321479333461256
"Finance, Insurance, Real Estate",2001,0.10228467739140273,0.0641548792244171,0.03422160306002697,0.0437483924327827,0.0852831548390228,0.050342536851721735
"Finance, Insurance, Real Estate",2002,0.08727362462664823,0.06213883903529098,0.027256415996257617,0.028444155970947592,0.07430717378290055,0.05587587422769405
"Finance, Insurance, Real Estate",2003,0.08074783526797708,0.05890580345088922,0.031224274809258573,0.030762029039634913,0.06475521043543164,0.052360022331755234
"Finance, Insurance, Real Estate",2004,0.07171691583246952,0.042426466388041616,0.03115501434316887,0.024499820037920898,0.05542273355836072,0.03661678926247545
"Finance, Insurance, Real Estate",2005,0.06462419167918963,0.03906430279201458,0.02603010267443518,0.020931584464615932,0.052765629570147854,0.03427150830449634
"Finance, Insurance, Real Estate",2006,0.05716838330570361,0.03439264920704365,0.0198418582593269,0.0215526272653441,0.048082193416213934,0.028238860818210275
"Finance, Insurance, Real Estate",2007,0.06442214842744619,0.040665042739055204,0.024729082835945167,0.023913807784787997,0.05271975904061494,0.03405310784879672
"Finance, Insurance, Real Estate",2008,0.10731373786854698,0.05929933969540586,0.0361389404795587,0.03370963590431009,0.09144420874820945,0.05158630488191264
"Finance, Insurance, Real Estate",2009,0.17776759898824385,0.119961146644677,0.08090776252089028,0.07714528096252024,0.1359035683559749,0.0944758811072727
"Finance, Insurance, Real Estate",2010,0.13054967599438064,0.09996652145973263,0.05374214596077615,0.0476378652377058,0.10267123063739277,0.088343858283512
"Finance, Insurance, Real Estate",2011,0.10213836675561168,0.06337420110450358,0.05331482191223098,0.03897086291660586,0.07426597841964855,0.05440347307464758
"Finance, Insurance, Real Estate",2012,0.09546404585962372,0.056812173568687806,0.05314056706257792,0.04003393601424419,0.06515165185014221,0.04760313981849956
"Finance, Insurance, Real Estate",2013,0.07946320069613014,0.057338857929749534,0.029687188761655433,0.02583363367347259,0.06574903820116539,0.05162911483178611
"Finance, Insurance, Real Estate",2014,0.07127218513241877,0.04113827972938876,0.032341392716329555,0.022121332704877626,0.05529400095859163,0.03737986659904981
"Finance, Insurance, Real Estate",2015,0.06182570141618147,0.0393649283993116,0.025657981760320563,0.02403202041461683,0.04885888286674292,0.03232735220626082
"Finance, Insurance, Real Estate",2016,0.07177665374088187,0.04162092822009256,0.02898894848512113,0.022648958751142406,0.057899430619878914,0.037284353517631
"Finance, Insurance, Real Estate",2017,0.07847520024705093,0.041061761487287504,0.03088157962860593,0.022284708070362796,0.06501262152623069,0.03647157248034757
"Finance, Insurance, Real Estate",2018,0.06594435402926825,0.047742201600325114,0.025561543392877296,0.022663993188204203,0.05371017945604475,0.042396373471098904
"Finance, Insurance, Real Estate",2019,0.09229742188419236,0.05673791973049971,0.058335620671475616,0.039043572474443004,0.058349821923848445,0.04574411900564945
"Finance, Insurance, Real Estate",2020,0.11951403717135717,0.0624693705073731,0.07914315869372497,0.054298190587864975,0.06976175824165587,0.04363747433075416
"Finance, Insurance, Real Estate",2021,0.10693442277617374,0.06900646451681054,0.05420653101616224,0.04664098214257516,0.07759291312252506,0.05460316241413354
"Finance, Insurance, Real Estate",2022,0.0868191794883023,0.06928358970059802,0.0355053406289517,0.036243713424945624,0.07012033616124533,0.05911213423561516
"Finance, Insurance, Real Estate",2023,0.1180354955770582,0.07167828935514915,0.051502530902212275,0.0359799475971076,0.09400843896433261,0.06504158560246594
Manufacturing,1996,0.12466663865529796,0.07856343718314909,0.051163918396321575,0.04123857072731992,0.09853806660502516,0.0679051522151436
Manufacturing,1997,0.12374904785593512,0.07092122793072295,0.04572182620783836,0.04048223856223293,0.1027990756589924,0.061165902966488224
Manufacturing,1998,0.13257906235522904,0.07637749146878825,0.06050474511899227,0.04960088970086533,0.10172298835664122,0.06232164308873225
Manufacturing,1999,0.16354528774526889,0.10033120740488705,0.06667108013003305,0.05048794716444075,0.13049147800244432,0.08871774600089441
Manufacturing,2000,0.20884670003574196,0.18953933170723228,0.06208636210378675,0.07269693020128531,0.1816741804338756,0.16982560739531277
Manufacturing,2001,0.20634222873993205,0.15155720389814797,0.08937413259169531,0.08925427403528624,0.16287040032235825,0.1238222129873255
Manufacturing,2002,0.16612637069962996,0.12470062118450699,0.06534078862706953,0.06698662857148391,0.13473472066525613,0.10666955646091345
Manufacturing,2003,0.14956166718284533,0.09409473748853185,0.066098942685548,0.0645471708436894,0.1159322219235441,0.07569696031612462
Manufacturing,2004,0.12362187711622522,0.07857240955413583,0.05018741956920188,0.0440513968513752,0.09760141458118393,0.06721459690416039
Manufacturing,2005,0.11304560255664121,0.07554365845520206,0.044906861868737165,0.03990461750547646,0.0924103975402661,0.06559094727168494
Manufacturing,2006,0.11595024664301727,0.07743561997993158,0.04818384820780088,0.04285129616913648,0.09387294541349317,0.06595971830074583
Manufacturing,2007,0.10294943553055404,0.05668719273547788,0.03733018456625878,0.03048116537103368,0.08548585314984788,0.05052060453868155
Manufacturing,2008,0.13088520156203276,0.066793418587501,0.054394163321735446,0.04343326867094927,0.10545250124208286,0.05822062266698973
Manufacturing,2009,0.21742364385831991,0.14960987044353607,0.1174290046329817,0.09150636422971942,0.15214075476276034,0.12313324607075848
Manufacturing,2010,0.14721907912342855,0.11252422069936323,0.06563954898630539,0.06014905813536526,0.11238177604287368,0.09655831080831405
Manufacturing,2011,0.12393774344886231,0.06407986954715887,0.0652385145918302,0.042761592701666906,0.08961215273365011,0.05651593947884125
Manufacturing,2012,0.1294508225942217,0.07867305816916002,0.06989720877562754,0.04802420671352867,0.09075885617245316,0.07007111966435935
Manufacturing,2013,0.10047113923327597,0.07284090357856629,0.03649503197967899,0.03470237359052123,0.08357776803459178,0.06454797365129332
Manufacturing,2014,0.10297142020130763,0.07007271318606531,0.0411084504900258,0.033368212941010736,0.08332828935570677,0.06327927909039921
Manufacturing,2015,0.0991549597277132,0.06343666524232007,0.0356572672117058,0.03137123256982582,0.08160410768083613,0.05595764266150377
Manufacturing,2016,0.11362287700335343,0.07925247228233902,0.03989184097843659,0.03590538089248722,0.09432213640057907,0.07209557625635832
Manufacturing,2017,0.11475671133557261,0.08838210557734384,0.0372158003037169,0.03476952949513191,0.09795828686061248,0.08078089283014658
Manufacturing,2018,0.11228779283359815,0.0803174862501904,0.03946238783919227,0.041037261241914716,0.09351561552008243,0.0695135779828223
Manufacturing,2019,0.13332123323166326,0.06896028114937301,0.07630040070743305,0.046514508083896317,0.09324474601118128,0.05760264996587336
Manufacturing,2020,0.17816717296077825,0.19273799815686368,0.10054466203333438,0.08413869460984469,0.12027809306969954,0.17046135344200872
Manufacturing,2021,0.1652715133577659,0.23030994656516524,0.07056735298499177,0.07295931906958847,0.12616981804628558,0.20963744547163635
Manufacturing,2022,0.1272674502184448,0.07535285172613143,0.04952154772338465,0.035953112061854246,0.10388423461110406,0.07016886889676283
Manufacturing,2023,0.1507873223056318,0.09660295347485144,0.07022474990516676,0.04795799447249091,0.1156269193291593,0.08940256388184842
Mining,1996,0.13326267547924114,0.07866597965996049,0.04454001212655605,0.03515135909453204,0.11073379337145782,0.0711913648995357
Mining,1997,0.1415072922698742,0.09820859580209995,0.04115131720099382,0.04916922701734329,0.12338137310869607,0.08358820609562713
Mining,1998,0.16169483756490022,0.09078027004621066,0.06885435435608023,0.0538565543761378,0.1274436613789369,0.07776041024015799
Mining,1999,0.21862337483374886,0.09668401270378463,0.07720763489758257,0.059335867774186604,0.18299170658771255,0.08218295132903547
Mining,2000,0.1874550900445387,0.08486536992629268,0.05504635203702782,0.048113866067118566,0.16365739102203364,0.07537234119212588
Mining,2001,0.16810192969423907,0.08897715642490636,0.05304841023204039,0.04324251616636384,0.14467370580022915,0.07933481556966476
Mining,2002,0.13064799368725902,0.05550049211378667,0.03720777385917397,0.028956309908654793,0.11404770286340073,0.05150185940840403
Mining,2003,0.1352554272516595,0.12372945131322635,0.03434733664240424,0.03690379689469747,0.11924567371167062,0.11421361309759347
Mining,2004,0.13517365012220292,0.08947047659050231,0.048280072443406034,0.04664409451072779,0.11083772139844303,0.07670630492871305
Mining,2005,0.13013456086712455,0.07128242890195932,0.040536718039577875,0.04375025687149609,0.11168781735094889,0.05980259515423329
Mining,2006,0.14425058970938456,0.06317377084211456,0.06254040321850017,0.037363096848185694,0.11616820219122623,0.05747513881530198
Mining,2007,0.11114897592216007,0.05945164749783079,0.04565079922707923,0.03067399563833319,0.08938905315645121,0.05454303442438675
Mining,2008,0.16072011401718844,0.07728060081925694,0.06281884994017155,0.04540602666393602,0.1328135334091568,0.06964947646625377
Mining,2009,0.2438275880483022,0.11963738903988247,0.13673931141490922,0.07734400816401275,0.16761368212514488,0.10702666210092977
Mining,2010,0.16193716949426853,0.11617848495429409,0.06232477763925374,0.04990082741376591,0.13027984004188564,0.10601617534948705
Mining,2011,0.16438295816469764,0.11822036831209055,0.0852850694618545,0.05209269130600546,0.11958940704548528,0.11049674897782441
Mining,2012,0.16700173678230523,0.070845003001084,0.11031201167740035,0.06392705581088283,0.10090240293842341,0.0530847996450461
Mining,2013,0.11993650138652202,0.06338232875786134,0.05127988183174808,0.03589652316482385,0.09582304469956555,0.05708389068885414
Mining,2014,0.13177598441268482,0.08884935004157975,0.049166485332402116,0.04793538106289816,0.10843325663793452,0.07673320941048806
Mining,2015,0.169395321240257,0.0991569270891791,0.0481849182661676,0.045824543397984654,0.14619552852520754,0.08769690844157613
Mining,2016,0.23145982550039612,0.16526878560111743,0.09925370447456075,0.10508243744797928,0.1801366109956564,0.13496413123069248
Mining,2017,0.17419076381763732,0.13290555351757577,0.06422134887373158,0.065073593939246,0.1452857913868818,0.11598685280878225
Mining,2018,0.13444634529793553,0.08042146205870618,0.05097801829397513,0.043139332827414174,0.11112047444673195,0.06948394360993607
Mining,2019,0.16562045586111449,0.08274645138775523,0.0987932641826585,0.05227258636160651,0.11278674822808554,0.07135479914847973
Mining,2020,0.3321272364045236,0.2636257882054722,0.22230731463479364,0.18860490990422998,0.19745232002785776,0.18435557950544768
Mining,2021,0.2492987751411346,0.22849115418024818,0.14101117230865748,0.16760051053560052,0.1700589540828471,0.1502632253205495
Mining,2022,0.1871414495111275,0.22483565989586038,0.0657444040527038,0.08473360071391557,0.15895393127269947,0.19816277423006787
Mining,2023,0.15844079410324133,0.08070095331809848,0.07435976277154713,0.050445898478681896,0.12449920285136243,0.06807629788125352
Other,1996,,,,,,
Other,1997,,,,,,
Other,1998,,,,,,
Other,1999,0.30310279518369115,,0.1955554859329474,,0.221182760989107,
Other,2000,0.21437964882821117,0.06110677032166379,0.13882807419429852,0.060266731753378246,0.16137476012487875,0.04374249151062423
Other,2001,0.18634132786015078,0.008357545059350649,0.022213825195631587,0.0035098037392803038,0.17226957343005883,0.006260193416898402
Other,2002,,,,,,
Other,2003,0.25261568213597024,0.051785161212913836,0.15289885465840675,0.04650834467504903,0.17977409086528853,0.03842888121261991
Other,2004,,,,,,
Other,2005,,,,,,
Other,2006,,,,,,
Other,2007,,,,,,
Other,2008,,,,,,
Other,2009,,,,,,
Other,2010,0.07011311777026229,,0.024131136896116116,,0.060329075277465435,
Other,2011,0.23499189051846503,0.011941735473865825,0.14485372769986818,0.007275798921700146,0.13686028348076146,0.005328297125337773
Other,2012,,,,,,
Other,2013,,,,,,
Other,2014,0.24937691224870553,0.17768435011222888,0.10825075133841414,0.06620820509642766,0.2026276181403082,0.15535808969595385
Other,2015,0.17950657313336824,0.1312433360331261,0.04557312828492721,0.029441906561395396,0.1554339867938903,0.12653281145962816
Other,2016,0.2504482051419033,0.161023943115042,0.038228182208799664,0.03784084922891948,0.22978403831807817,0.1511370800927654
